### DETECTION RATE IS:       1.0
### NO. DET MALICIOUS USERS: 224
### NO. ALL MALICIOUS USERS: 224
### 
### FALSE POSITIVE RATE IS:           0.036931816
### FALSE POSITIVES (WORST CASE)      0.0056818184
### NO. WRONGLY DET USERS             26
### NO. WRONGLY DET USERS (WORST CASE)4
### NO. BENIGN USERS:                 704
###
DAY - AV ROOMS - OCCUPANCY %
1 - 200 - 0.0
2 - 189 - 0.055
3 - 171 - 0.145
4 - 135 - 0.325
5 - 109 - 0.455
6 - 81 - 0.595
7 - 62 - 0.69
8 - 32 - 0.84
9 - 23 - 0.885
10 - 26 - 0.87
11 - 35 - 0.825
12 - 45 - 0.775
13 - 26 - 0.87
14 - 38 - 0.81
15 - 51 - 0.745
16 - 42 - 0.79
17 - 41 - 0.795
18 - 44 - 0.78
19 - 44 - 0.78
20 - 45 - 0.775
21 - 30 - 0.85
22 - 42 - 0.79
23 - 59 - 0.705
24 - 62 - 0.69
25 - 76 - 0.62
26 - 36 - 0.82
27 - 29 - 0.855
28 - 58 - 0.71
29 - 58 - 0.71
30 - 73 - 0.635
31 - 87 - 0.565
32 - 73 - 0.635
33 - 57 - 0.715
34 - 47 - 0.765
35 - 21 - 0.895
36 - 19 - 0.905
37 - 29 - 0.855
38 - 31 - 0.845
39 - 37 - 0.815
40 - 36 - 0.82
41 - 33 - 0.835
42 - 29 - 0.855
43 - 26 - 0.87
44 - 21 - 0.895
45 - 13 - 0.935
46 - 28 - 0.86
47 - 42 - 0.79
48 - 37 - 0.815
49 - 31 - 0.845
50 - 13 - 0.935
51 - 32 - 0.84
52 - 7 - 0.965
53 - 24 - 0.88
54 - 35 - 0.825
55 - 19 - 0.905
56 - 9 - 0.955
57 - 19 - 0.905
58 - 11 - 0.945
59 - 8 - 0.96
60 - 17 - 0.915
